#,Type,Object Type,Size class (cm),Number of particles ,State,Observations
2007,N,Rope,10 - 50,19,Fragmented,
2008,N,Rope,10 - 50,18,Fragmented,
2009,N,Rope,10 - 50,18,Fragmented,
2010,N,Rope,10 - 50,14,Fragmented,
2011,N,Rope,10 - 50,12,Fragmented,
2012,N,Rope,10 - 50,12,Fragmented,
2013,N,Rope,10 - 50,11,Fragmented,
2014,N,Rope,10 - 50,11,Fragmented,
2015,N,Rope,10 - 50,11,Fragmented,
2016,N,Rope,10 - 50,9,Fragmented,
2017,N,Rope,10 - 50,9,Fragmented,
2018,N,Rope,10 - 50,9,Fragmented,
2019,N,Rope,10 - 50,9,Fragmented,
2020,N,Rope,10 - 50,9,Fragmented,
2021,N,Rope,10 - 50,8,Fragmented,
2022,N,Rope,10 - 50,8,Fragmented,
2023,N,Rope,10 - 50,8,Fragmented,
2024,N,Rope,10 - 50,8,Fragmented,
2025,N,Rope,10 - 50,7,Fragmented,
2026,N,Rope,10 - 50,7,Fragmented,
2027,N,Rope,10 - 50,7,Fragmented,
2028,N,Rope,10 - 50,7,Fragmented,
2029,N,Rope,10 - 50,7,Fragmented,
2030,N,Rope,10 - 50,7,Fragmented,
2031,N,Rope,10 - 50,7,Fragmented,
2032,N,Rope,10 - 50,7,Fragmented,
2033,N,Rope,10 - 50,6,Fragmented,
2034,N,Rope,10 - 50,6,Fragmented,
2035,N,Rope,10 - 50,6,Fragmented,
2036,N,Rope,10 - 50,6,Fragmented,
2037,N,Rope,10 - 50,6,Fragmented,
2038,N,Rope,10 - 50,6,Fragmented,
2039,N,Rope,10 - 50,6,Fragmented,
2040,N,Rope,10 - 50,6,Fragmented,
2041,N,Rope,10 - 50,6,Fragmented,
2042,N,Rope,10 - 50,6,Fragmented,
2043,N,Rope,10 - 50,6,Fragmented,
2044,N,Rope,10 - 50,6,Fragmented,
2045,N,Rope,10 - 50,6,Fragmented,
2046,N,Rope,10 - 50,6,Fragmented,
2047,N,Rope,10 - 50,5,Fragmented,
2048,N,Rope,10 - 50,5,Fragmented,
2049,N,Rope,10 - 50,5,Fragmented,
2050,N,Rope,10 - 50,5,Fragmented,
2051,N,Rope,10 - 50,5,Fragmented,
2052,N,Rope,10 - 50,5,Fragmented,
2053,N,Rope,10 - 50,5,Fragmented,
2054,N,Rope,10 - 50,5,Fragmented,
2055,N,Rope,10 - 50,5,Fragmented,
2056,N,Rope,10 - 50,5,Fragmented,
2057,N,Rope,10 - 50,5,Fragmented,
2058,N,Rope,10 - 50,5,Fragmented,
2059,N,Rope,10 - 50,5,Fragmented,
2060,N,Rope,10 - 50,5,Fragmented,
2061,N,Rope,10 - 50,5,Fragmented,
2062,N,Rope,10 - 50,5,Fragmented,
2063,N,Rope,10 - 50,5,Fragmented,
2064,N,Rope,10 - 50,5,Fragmented,
2065,N,Rope,10 - 50,5,Fragmented,
2066,N,Rope,10 - 50,5,Fragmented,
2067,N,Rope,10 - 50,4,Fragmented,
2068,N,Rope,10 - 50,4,Fragmented,
2069,N,Rope,10 - 50,4,Fragmented,
2070,N,Rope,10 - 50,4,Fragmented,
2071,N,Rope,10 - 50,4,Fragmented,
2072,N,Rope,10 - 50,4,Fragmented,
2073,N,Rope,10 - 50,4,Fragmented,
2074,N,Rope,10 - 50,4,Fragmented,
2075,N,Rope,10 - 50,4,Fragmented,
2076,N,Rope,10 - 50,4,Fragmented,
2077,N,Rope,10 - 50,4,Fragmented,
2078,N,Rope,10 - 50,4,Fragmented,
2079,N,Rope,10 - 50,4,Fragmented,
2080,N,Rope,10 - 50,4,Fragmented,
2081,N,Rope,10 - 50,4,Fragmented,
2082,N,Rope,10 - 50,4,Fragmented,
2083,N,Rope,10 - 50,4,Fragmented,
2084,N,Rope,10 - 50,4,Fragmented,
2085,N,Rope,10 - 50,4,Fragmented,
2086,N,Rope,10 - 50,4,Fragmented,
2087,N,Rope,10 - 50,4,Fragmented,
2088,N,Rope,10 - 50,4,Fragmented,
2089,N,Rope,10 - 50,4,Fragmented,
2090,N,Rope,10 - 50,4,Fragmented,
2091,N,Rope,10 - 50,4,Fragmented,
2092,N,Rope,10 - 50,4,Fragmented,
2093,N,Rope,10 - 50,4,Fragmented,
2094,N,Rope,10 - 50,4,Fragmented,
2095,N,Rope,10 - 50,3,Fragmented,
2096,N,Rope,10 - 50,3,Fragmented,
2097,N,Rope,10 - 50,3,Fragmented,
2098,N,Rope,10 - 50,3,Fragmented,
2099,N,Rope,10 - 50,3,Fragmented,
2100,N,Rope,10 - 50,3,Fragmented,
2101,N,Rope,10 - 50,3,Fragmented,
2102,N,Rope,10 - 50,3,Fragmented,
2103,N,Rope,10 - 50,3,Fragmented,
2104,N,Rope,10 - 50,3,Fragmented,
2105,N,Rope,10 - 50,3,Fragmented,
2106,N,Rope,10 - 50,3,Fragmented,
2107,N,Rope,10 - 50,3,Fragmented,
2108,N,Rope,10 - 50,3,Fragmented,
2109,N,Rope,10 - 50,3,Fragmented,
2110,N,Rope,10 - 50,3,Fragmented,
2111,N,Rope,10 - 50,3,Fragmented,
2112,N,Rope,10 - 50,3,Fragmented,
2113,N,Rope,10 - 50,3,Fragmented,
2114,N,Rope,10 - 50,3,Fragmented,
2115,N,Rope,10 - 50,3,Fragmented,
2116,N,Rope,10 - 50,3,Fragmented,
2117,N,Rope,10 - 50,3,Fragmented,
2118,N,Rope,10 - 50,3,Fragmented,
2119,N,Rope,10 - 50,3,Fragmented,
2120,N,Rope,10 - 50,3,Fragmented,
2121,N,Rope,10 - 50,3,Fragmented,
2122,N,Rope,10 - 50,3,Fragmented,
2123,N,Rope,10 - 50,3,Fragmented,
2124,N,Rope,10 - 50,3,Fragmented,
2125,N,Rope,10 - 50,3,Fragmented,
2126,N,Rope,10 - 50,3,Fragmented,
2127,N,Rope,10 - 50,3,Fragmented,
2128,N,Rope,10 - 50,3,Fragmented,
2129,N,Rope,10 - 50,3,Fragmented,
2130,N,Rope,10 - 50,3,Fragmented,
2131,N,Rope,10 - 50,3,Fragmented,
2132,N,Rope,10 - 50,3,Fragmented,
2133,N,Rope,10 - 50,2,Fragmented,
2134,N,Rope,10 - 50,2,Fragmented,
2135,N,Rope,10 - 50,2,Fragmented,
2136,N,Rope,10 - 50,2,Fragmented,
2137,N,Rope,10 - 50,2,Fragmented,
2138,N,Rope,10 - 50,2,Fragmented,
2139,N,Rope,10 - 50,2,Fragmented,
2140,N,Rope,10 - 50,2,Fragmented,
2141,N,Rope,10 - 50,2,Fragmented,
2142,N,Rope,10 - 50,2,Fragmented,
2143,N,Rope,10 - 50,2,Fragmented,
2144,N,Rope,10 - 50,2,Fragmented,
2145,N,Rope,10 - 50,2,Fragmented,
2146,N,Rope,10 - 50,2,Fragmented,
2147,N,Rope,10 - 50,2,Fragmented,
2148,N,Rope,10 - 50,2,Fragmented,
2149,N,Rope,10 - 50,2,Fragmented,
2150,N,Rope,10 - 50,2,Fragmented,
2151,N,Rope,10 - 50,2,Fragmented,
2152,N,Rope,10 - 50,2,Fragmented,
2153,N,Rope,10 - 50,2,Fragmented,
2154,N,Rope,10 - 50,2,Fragmented,
2155,N,Rope,10 - 50,2,Fragmented,
2156,N,Rope,10 - 50,2,Fragmented,
2157,N,Rope,10 - 50,2,Fragmented,
2158,N,Rope,10 - 50,2,Fragmented,
2159,N,Rope,10 - 50,2,Fragmented,
2160,N,Rope,10 - 50,2,Fragmented,
2161,N,Rope,10 - 50,2,Fragmented,
2162,N,Rope,10 - 50,2,Fragmented,
2163,N,Rope,10 - 50,2,Fragmented,
2164,N,Rope,10 - 50,2,Fragmented,
2165,N,Rope,10 - 50,2,Fragmented,
2166,N,Rope,10 - 50,1,Fragmented,
2167,N,Rope,10 - 50,1,Fragmented,
2168,N,Rope,10 - 50,1,Fragmented,
2169,N,Rope,10 - 50,1,Fragmented,
2170,N,Rope,10 - 50,1,Fragmented,
2171,N,Rope,10 - 50,1,Fragmented,
2172,N,Rope,10 - 50,1,Fragmented,
2173,N,Rope,10 - 50,1,Fragmented,
2174,N,Rope,10 - 50,1,Fragmented,
2175,N,Rope,10 - 50,1,Fragmented,
2176,N,Rope,10 - 50,1,Fragmented,
2177,N,Rope,10 - 50,1,Fragmented,
2178,N,Rope,10 - 50,1,Fragmented,
2179,N,Rope,10 - 50,1,Fragmented,
2180,N,Rope,10 - 50,1,Fragmented,
2181,N,Rope,10 - 50,1,Fragmented,
2182,N,Rope,10 - 50,1,Fragmented,
2183,N,Rope,10 - 50,1,Fragmented,
2184,N,Rope,10 - 50,1,Fragmented,
2185,N,Rope,10 - 50,1,Fragmented,
2186,N,Rope,10 - 50,1,Fragmented,
2187,N,Rope,10 - 50,1,Fragmented,
2188,N,Rope,10 - 50,1,Fragmented,
2189,N,Rope,10 - 50,1,Fragmented,
2190,N,Rope,10 - 50,1,Fragmented,
2191,N,Rope,10 - 50,1,Fragmented,
2192,N,Rope,10 - 50,1,Fragmented,
2193,N,Rope,10 - 50,1,Fragmented,
2194,N,Rope,10 - 50,1,Fragmented,
2195,N,Rope,10 - 50,1,Fragmented,
2196,N,Rope,10 - 50,1,Fragmented,
2197,N,Rope,10 - 50,1,Fragmented,
2198,N,Rope,10 - 50,1,Fragmented,
2199,N,Rope,10 - 50,1,Fragmented,
2200,N,Rope,10 - 50,1,Fragmented,
2201,N,Rope,10 - 50,1,Fragmented,
2202,N,Rope,10 - 50,1,Fragmented,
2203,N,Rope,10 - 50,1,Fragmented,
2204,N,Rope,10 - 50,1,Fragmented,
2205,N,Rope,10 - 50,1,Fragmented,
2206,N,Rope,10 - 50,1,Fragmented,
2207,N,Rope,5 - 10,21,Fragmented,
2208,N,Rope,5 - 10,18,Fragmented,
2209,N,Rope,5 - 10,16,Fragmented,
2210,N,Rope,5 - 10,13,Fragmented,
2211,N,Rope,5 - 10,12,Fragmented,
2212,N,Rope,5 - 10,12,Fragmented,
2213,N,Rope,5 - 10,12,Fragmented,
2214,N,Rope,5 - 10,10,Fragmented,
2215,N,Rope,5 - 10,10,Fragmented,
2216,N,Rope,5 - 10,10,Fragmented,
2217,N,Rope,5 - 10,10,Fragmented,
2218,N,Rope,5 - 10,9,Fragmented,
2219,N,Rope,5 - 10,9,Fragmented,
2220,N,Rope,5 - 10,8,Fragmented,
2221,N,Rope,5 - 10,6,Fragmented,
2222,N,Rope,5 - 10,6,Fragmented,
2223,N,Rope,5 - 10,6,Fragmented,
2224,N,Rope,5 - 10,6,Fragmented,
2225,N,Rope,5 - 10,5,Fragmented,
2226,N,Rope,5 - 10,5,Fragmented,
2227,N,Rope,5 - 10,5,Fragmented,
2228,N,Rope,5 - 10,4,Fragmented,
2229,N,Rope,5 - 10,4,Fragmented,
2230,N,Rope,5 - 10,3,Fragmented,
2231,N,Rope,5 - 10,3,Fragmented,
2232,N,Rope,5 - 10,3,Fragmented,
2233,N,Rope,5 - 10,2,Fragmented,
2234,N,Rope,5 - 10,2,Fragmented,
2235,N,Rope,5 - 10,2,Fragmented,
2236,N,Rope,5 - 10,2,Fragmented,
2237,N,Rope,5 - 10,1,Fragmented,
2238,N,Rope,5 - 10,1,Fragmented,
2239,N,Rope,5 - 10,1,Fragmented,
2240,N,Rope,5 - 10,1,Fragmented,
2241,N,Rope,5 - 10,1,Fragmented,
2242,N,Rope,5 - 10,1,Fragmented,
2243,N,Rope,5 - 10,1,Fragmented,
2244,N,Rope,5 - 10,1,Fragmented,
2245,N,Rope,5 - 10,1,Fragmented,
2246,N,Rope,1.5 - 5,30,Fragmented,
2247,N,Rope,1.5 - 5,18,Fragmented,
2248,N,Rope,1.5 - 5,16,Fragmented,
2249,N,Rope,1.5 - 5,16,Fragmented,
2250,N,Rope,1.5 - 5,13,Fragmented,
2251,N,Rope,1.5 - 5,12,Fragmented,
2252,N,Rope,1.5 - 5,11,Fragmented,
2253,N,Rope,1.5 - 5,10,Fragmented,
2254,N,Rope,1.5 - 5,9,Fragmented,
2255,N,Rope,1.5 - 5,9,Fragmented,
2256,N,Rope,1.5 - 5,9,Fragmented,
2257,N,Rope,1.5 - 5,8,Fragmented,
2258,N,Rope,1.5 - 5,8,Fragmented,
2259,N,Rope,1.5 - 5,7,Fragmented,
2260,N,Rope,1.5 - 5,5,Fragmented,
2261,N,Rope,1.5 - 5,5,Fragmented,
2262,N,Rope,1.5 - 5,5,Fragmented,
2263,N,Rope,1.5 - 5,5,Fragmented,
2264,N,Rope,1.5 - 5,5,Fragmented,
2265,N,Rope,1.5 - 5,5,Fragmented,
2266,N,Rope,1.5 - 5,4,Fragmented,
2267,N,Rope,1.5 - 5,4,Fragmented,
2268,N,Rope,1.5 - 5,4,Fragmented,
2269,N,Rope,1.5 - 5,4,Fragmented,
2270,N,Rope,1.5 - 5,4,Fragmented,
2271,N,Rope,1.5 - 5,4,Fragmented,
2272,N,Rope,1.5 - 5,3,Fragmented,
2273,N,Rope,1.5 - 5,3,Fragmented,
2274,N,Rope,1.5 - 5,3,Fragmented,
2275,N,Rope,1.5 - 5,3,Fragmented,
2276,N,Rope,1.5 - 5,3,Fragmented,
2277,N,Rope,1.5 - 5,3,Fragmented,
2278,N,Rope,1.5 - 5,3,Fragmented,
2279,N,Rope,1.5 - 5,3,Fragmented,
2280,N,Rope,1.5 - 5,2,Fragmented,
2281,N,Rope,1.5 - 5,2,Fragmented,
2282,N,Rope,1.5 - 5,2,Fragmented,
2283,N,Rope,1.5 - 5,2,Fragmented,
2284,N,Rope,1.5 - 5,2,Fragmented,
2285,N,Rope,1.5 - 5,2,Fragmented,
2286,N,Rope,1.5 - 5,2,Fragmented,
2287,N,Rope,1.5 - 5,2,Fragmented,
2288,N,Rope,1.5 - 5,1,Fragmented,
2289,N,Rope,1.5 - 5,1,Fragmented,
2290,N,Rope,1.5 - 5,1,Fragmented,
2291,N,Rope,1.5 - 5,1,Fragmented,
2292,N,Rope,1.5 - 5,1,Fragmented,
2293,N,Rope,1.5 - 5,1,Fragmented,
2294,N,Rope,0.5 - 1.5,38,Fragmented,
2295,N,Rope,0.5 - 1.5,38,Fragmented,
2296,N,Rope,0.5 - 1.5,35,Fragmented,
2297,N,Rope,0.5 - 1.5,34,Fragmented,
2298,N,Rope,0.5 - 1.5,33,Fragmented,
2299,N,Rope,0.5 - 1.5,30,Fragmented,
2300,N,Rope,0.5 - 1.5,30,Fragmented,
2301,N,Rope,0.5 - 1.5,27,Fragmented,
2302,N,Rope,0.5 - 1.5,26,Fragmented,
2303,N,Rope,0.5 - 1.5,23,Fragmented,
2304,N,Rope,0.5 - 1.5,20,Fragmented,
2305,N,Rope,0.5 - 1.5,20,Fragmented,
2306,N,Rope,0.5 - 1.5,20,Fragmented,
2307,N,Rope,0.5 - 1.5,19,Fragmented,
2308,N,Rope,0.5 - 1.5,18,Fragmented,
2309,N,Rope,0.5 - 1.5,17,Fragmented,
2310,N,Rope,0.5 - 1.5,16,Fragmented,
2311,N,Rope,0.5 - 1.5,16,Fragmented,
2312,N,Rope,0.5 - 1.5,14,Fragmented,
2313,N,Rope,0.5 - 1.5,13,Fragmented,
2314,N,Rope,0.5 - 1.5,13,Fragmented,
2315,N,Rope,0.5 - 1.5,12,Fragmented,
2316,N,Rope,0.5 - 1.5,12,Fragmented,
2317,N,Rope,0.5 - 1.5,12,Fragmented,
2318,N,Rope,0.5 - 1.5,11,Fragmented,
2319,N,Rope,0.5 - 1.5,11,Fragmented,
2320,N,Rope,0.5 - 1.5,11,Fragmented,
2321,N,Rope,0.5 - 1.5,11,Fragmented,
2322,N,Rope,0.5 - 1.5,10,Fragmented,
2323,N,Rope,0.5 - 1.5,10,Fragmented,
2324,N,Rope,0.5 - 1.5,9,Fragmented,
2325,N,Rope,0.5 - 1.5,9,Fragmented,
2326,N,Rope,0.5 - 1.5,9,Fragmented,
2327,N,Rope,0.5 - 1.5,8,Fragmented,
2328,N,Rope,0.5 - 1.5,7,Fragmented,
2329,N,Rope,0.5 - 1.5,7,Fragmented,
2330,N,Rope,0.5 - 1.5,7,Fragmented,
2331,N,Rope,0.5 - 1.5,7,Fragmented,
2332,N,Rope,0.5 - 1.5,7,Fragmented,
2333,N,Rope,0.5 - 1.5,6,Fragmented,
2334,N,Rope,0.5 - 1.5,6,Fragmented,
2335,N,Rope,0.5 - 1.5,5,Fragmented,
2336,N,Rope,0.5 - 1.5,5,Fragmented,
2337,N,Rope,0.5 - 1.5,4,Fragmented,
2338,N,Rope,0.5 - 1.5,4,Fragmented,
2339,N,Rope,0.5 - 1.5,4,Fragmented,
2340,N,Rope,0.5 - 1.5,3,Fragmented,
2341,N,Rope,0.5 - 1.5,3,Fragmented,
2342,N,Rope,0.5 - 1.5,3,Fragmented,
2343,N,Rope,0.5 - 1.5,2,Fragmented,
2344,N,Rope,0.5 - 1.5,2,Fragmented,
2345,N,Rope,0.5 - 1.5,2,Fragmented,
2346,N,Rope,0.5 - 1.5,2,Fragmented,
2347,N,Rope,0.5 - 1.5,1,Fragmented,
2348,N,Rope,0.5 - 1.5,1,Fragmented,
2349,N,Rope,0.5 - 1.5,1,Fragmented,
2350,N,Rope,0.5 - 1.5,1,Fragmented,
2351,N,Rope,0.15 - 0.5,170,Fragmented,
2352,N,Rope,0.15 - 0.5,114,Fragmented,
2353,N,Rope,0.15 - 0.5,109,Fragmented,
2354,N,Rope,0.15 - 0.5,68,Fragmented,
2355,N,Rope,0.15 - 0.5,65,Fragmented,
2356,N,Rope,0.15 - 0.5,64,Fragmented,
2357,N,Rope,0.15 - 0.5,62,Fragmented,
2358,N,Rope,0.15 - 0.5,57,Fragmented,
2359,N,Rope,0.15 - 0.5,55,Fragmented,
2360,N,Rope,0.15 - 0.5,53,Fragmented,
2361,N,Rope,0.15 - 0.5,53,Fragmented,
2362,N,Rope,0.15 - 0.5,50,Fragmented,
2363,N,Rope,0.15 - 0.5,45,Fragmented,
2364,N,Rope,0.15 - 0.5,44,Fragmented,
2365,N,Rope,0.15 - 0.5,44,Fragmented,
2366,N,Rope,0.15 - 0.5,38,Fragmented,
2367,N,Rope,0.15 - 0.5,36,Fragmented,
2368,N,Rope,0.15 - 0.5,35,Fragmented,
2369,N,Rope,0.15 - 0.5,33,Fragmented,
2370,N,Rope,0.15 - 0.5,32,Fragmented,
2371,N,Rope,0.15 - 0.5,29,Fragmented,
2372,N,Rope,0.15 - 0.5,28,Fragmented,
2373,N,Rope,0.15 - 0.5,27,Fragmented,
2374,N,Rope,0.15 - 0.5,26,Fragmented,
2375,N,Rope,0.15 - 0.5,21,Fragmented,
2376,N,Rope,0.15 - 0.5,19,Fragmented,
2377,N,Rope,0.15 - 0.5,18,Fragmented,
2378,N,Rope,0.15 - 0.5,17,Fragmented,
2379,N,Rope,0.15 - 0.5,17,Fragmented,
2380,N,Rope,0.15 - 0.5,17,Fragmented,
2381,N,Rope,0.15 - 0.5,16,Fragmented,
2382,N,Rope,0.15 - 0.5,15,Fragmented,
2383,N,Rope,0.15 - 0.5,15,Fragmented,
2384,N,Rope,0.15 - 0.5,14,Fragmented,
2385,N,Rope,0.15 - 0.5,14,Fragmented,
2386,N,Rope,0.15 - 0.5,13,Fragmented,
2387,N,Rope,0.15 - 0.5,13,Fragmented,
2388,N,Rope,0.15 - 0.5,13,Fragmented,
2389,N,Rope,0.15 - 0.5,13,Fragmented,
2390,N,Rope,0.15 - 0.5,11,Fragmented,
2391,N,Rope,0.15 - 0.5,11,Fragmented,
2392,N,Rope,0.15 - 0.5,11,Fragmented,
2393,N,Rope,0.15 - 0.5,11,Fragmented,
2394,N,Rope,0.15 - 0.5,10,Fragmented,
2395,N,Rope,0.15 - 0.5,10,Fragmented,
2396,N,Rope,0.15 - 0.5,10,Fragmented,
2397,N,Rope,0.15 - 0.5,10,Fragmented,
2398,N,Rope,0.15 - 0.5,10,Fragmented,
2399,N,Rope,0.15 - 0.5,9,Fragmented,
2400,N,Rope,0.15 - 0.5,8,Fragmented,
2401,N,Rope,0.15 - 0.5,8,Fragmented,
2402,N,Rope,0.15 - 0.5,8,Fragmented,
2403,N,Rope,0.15 - 0.5,7,Fragmented,
2404,N,Rope,0.15 - 0.5,7,Fragmented,
2405,N,Rope,0.15 - 0.5,6,Fragmented,
2406,N,Rope,0.15 - 0.5,5,Fragmented,
2407,N,Rope,0.15 - 0.5,5,Fragmented,
2408,N,Rope,0.15 - 0.5,3,Fragmented,
2409,N,Rope,0.15 - 0.5,3,Fragmented,
2410,N,Rope,0.15 - 0.5,1,Fragmented,
